"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"軽業の妙技/Acrobatic Maneuver （かるわざのみょうぎ） ","(２)(白)","インスタント ","あなたがコントロールするクリーチャー１体を対象とし、それを追放する。その後、そのカードをオーナーのコントロール下で戦場に戻す。カードを１枚引く。","Exile target creature you control, then return that card to the battlefield under its owner's control.Draw a card.",-,-,,"Winona Nelson","コモン, カラデシュ (1/264) ",-
"空中対応員/Aerial Responder （くうちゅうたいおういん） ","(１)(白)(白)","クリーチャー — ドワーフ(Dwarf)・兵士(Soldier) ","飛行、警戒、絆魂","Flying, vigilance, lifelink",2/3,-,,"Raoul Vitale","アンコモン, カラデシュ (2/264) ",-
"霊気嵐のロック/Aetherstorm Roc （れいきあらしのろっく） ","(２)(白)(白)","クリーチャー — 鳥(Bird) ","飛行霊気嵐のロックか他のクリーチャーが１体あなたのコントロール下で戦場に出るたび、あなたは(Ｅ)（エネルギー・カウンター１個）を得る。霊気嵐のロックが攻撃するたび、防御プレイヤーがコントロールするクリーチャー最大１体を対象とする。あなたは(Ｅ)(Ｅ)を支払ってもよい。そうしたなら、霊気嵐のロックの上に+1/+1カウンターを１個置き、そのクリーチャーをタップする。","FlyingWhenever Aetherstorm Roc or another creature enters the battlefield under your control, you get {E} (an energy counter).Whenever Aetherstorm Roc attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls.",3/3,-,,"Scott Murphy","レア, カラデシュ (3/264) ",-
"発明の天使/Angel of Invention （はつめいのてんし） ","(３)(白)(白)","クリーチャー — 天使(Angel) ","飛行、警戒、絆魂製造２（このクリーチャーが戦場に出たとき、これの上に+1/+1カウンターを２個置くか、無色の1/1の霊気装置(Servo)アーティファクト・クリーチャー・トークンを２体生成する。）あなたがコントロールする他のクリーチャーは+1/+1の修整を受ける。","Flying, vigilance, lifelinkFabricate 2 （When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.）Other creatures you control get +1/+1.",2/1,-,,"Volkan Baga","神話レア, カラデシュ (4/264) ",-
"領事の権限/Authority of the Consuls （りょうじのけんげん） ","(白)","エンチャント ","対戦相手がコントロールするクリーチャーはタップ状態で戦場に出る。クリーチャーが１体対戦相手のコントロール下で戦場に出るたび、あなたは１点のライフを得る。","Creatures your opponents control enter the battlefield tapped.Whenever a creature enters the battlefield under an opponent's control, you gain 1 life.",-,-,,"Lake Hurwitz","レア, カラデシュ (5/264) ",-
"格納庫の整備士/Aviary Mechanic （かくのうこのせいびし） ","(１)(白)","クリーチャー — ドワーフ(Dwarf)・工匠(Artificer) ","格納庫の整備士が戦場に出たとき、あなたはあなたがコントロールする他のパーマネント１つをオーナーの手札に戻してもよい。","When Aviary Mechanic enters the battlefield, you may return another permanent you control to its owner's hand.",2/2,-,,"Mark Zug","コモン, カラデシュ (6/264) ",-
"永存確約/Built to Last （えいぞんかくやく） ","(白)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それは+2/+2の修整を受ける。それがアーティファクト・クリーチャーであるなら、ターン終了時まで、それは破壊不能を得る。（ダメージや「破壊」と書かれた効果では、それは破壊されない。）","Target creature gets +2/+2 until end of turn. If it's an artifact creature, it gains indestructible until end of turn. （Damage and effects that say ""destroy"" don't destroy it.）",-,-,,"Svetlin Velinov","コモン, カラデシュ (7/264) ",-
"領事府による拘禁/Captured by the Consulate （りょうじふによるこうきん） ","(３)(白)","エンチャント — オーラ(Aura) ","エンチャント（あなたがコントロールしていないクリーチャー）エンチャントされているクリーチャーでは攻撃できない。対戦相手が呪文を１つ唱えるたび、それが単一の対象を持つ場合、可能ならその対象をエンチャントされているクリーチャーに変更する。","Enchant creature you don't controlEnchanted creature can't attack.Whenever an opponent casts a spell, if it has a single target, change the target to enchanted creature if able.",-,-,,"Tyler Jacobson","レア, カラデシュ (8/264) ",-
"激変の機械巨人/Cataclysmic Gearhulk （げきへんのきかいきょじん） ","(３)(白)(白)","アーティファクト・クリーチャー — 構築物(Construct) ","警戒激変の機械巨人が戦場に出たとき、各プレイヤーはそれぞれ、自分がコントロールする土地でないパーマネントの中から、アーティファクト１つとクリーチャー１体とエンチャント１つとプレインズウォーカー１体を選び、残りを生け贄に捧げる。","VigilanceWhen Cataclysmic Gearhulk enters the battlefield, each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents he or she controls, then sacrifices the rest.",4/5,-,,"Victor Adame Minguez","神話レア, カラデシュ (9/264) ",-
"領事府の看視/Consulate Surveillance （りょうじふのかんし） ","(３)(白)","エンチャント ","領事府の看視が戦場に出たとき、あなたは(Ｅ)(Ｅ)(Ｅ)(Ｅ)（エネルギー・カウンター４個）を得る。(Ｅ)(Ｅ)を支払う：このターン、あなたが選んだ発生源１つからあなたに与えられるすべてのダメージを軽減する。","When Consulate Surveillance enters the battlefield, you get {E}{E}{E}{E} (four energy counters).Pay {E}{E}: Prevent all damage that would be dealt to you this turn by a source of your choice.",-,-,,"Daniel Ljunggren","アンコモン, カラデシュ (10/264) ",-
