"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"バーラ・ゲドを滅ぼすもの/Bane of Bala Ged ","(７)","クリーチャー — エルドラージ(Eldrazi) ","バーラ・ゲドを滅ぼすものが攻撃するたび、防御プレイヤーは自分がコントロールするパーマネントを２つ追放する。","Whenever Bane of Bala Ged attacks, defending player exiles two permanents he or she controls.",7/5,-,,"Chase Stone","アンコモン, 戦乱のゼンディカー (1/274) ",-
"荒廃を招くもの/Blight Herder ","(５)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","あなたが荒廃を招くものを唱えたとき、あなたは追放領域からあなたの対戦相手がオーナーであるカードを２枚、それらのオーナーの墓地に置いてもよい。そうしたなら、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを３体戦場に出す。それらは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。","When you cast Blight Herder, you may put two cards your opponents own from exile into their owners' graveyards. If you do, put three 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have ""Sacrifice this creature: Add {1} to your mana pool.""",4/5,-,,"Todd Lockwood","レア, 戦乱のゼンディカー (2/274) ",-
"軍団を破壊するもの/Breaker of Armies ","(８)","クリーチャー — エルドラージ(Eldrazi) ","軍団を破壊するものをブロックできるすべてのクリーチャーは、これをブロックする。","All creatures able to block Breaker of Armies do so.",10/8,-,,"Richard Wright","アンコモン, 戦乱のゼンディカー (3/274) ",-
"破滅の伝導者/Conduit of Ruin ","(６)","クリーチャー — エルドラージ(Eldrazi) ","あなたが破滅の伝導者を唱えたとき、あなたはあなたのライブラリーから点数で見たマナ・コストが７以上の無色のクリーチャー・カードを１枚探してもよい。そうしたなら、それを公開し、その後あなたのライブラリーを切り直し、そのカードをライブラリーの一番上に置く。各ターン、あなたが最初に唱えるクリーチャー呪文を唱えるためのコストは(２)少なくなる。","When you cast Conduit of Ruin, you may search your library for a colorless creature card with converted mana cost 7 or greater, reveal it, then shuffle your library and put that card on top of it.The first creature spell you cast each turn costs {2} less to cast.",5/5,-,,"Slawomir Maniak","レア, 戦乱のゼンディカー (4/274) ",-
"不死のビヒモス/Deathless Behemoth ","(６)","クリーチャー — エルドラージ(Eldrazi) ","警戒エルドラージ(Eldrazi)・末裔(Scion)を２体生け贄に捧げる：不死のビヒモスをあなたの墓地からあなたの手札に戻す。この能力は、あなたがソーサリーを唱えられるときにのみ起動できる。","VigilanceSacrifice two Eldrazi Scions: Return Deathless Behemoth from your graveyard to your hand. Activate this ability only any time you could cast a sorcery.",6/6,-,,"Jason Felix","アンコモン, 戦乱のゼンディカー (5/274) ",-
"荒廃の双子/Desolation Twin ","(１０)","クリーチャー — エルドラージ(Eldrazi) ","あなたが荒廃の双子を唱えたとき、無色の10/10のエルドラージ(Eldrazi)・クリーチャー・トークンを１体戦場に出す。","When you cast Desolation Twin, put a 10/10 colorless Eldrazi creature token onto the battlefield.",10/10,-,,"Jack Wang","レア, 戦乱のゼンディカー (6/274) ",-
"エルドラージの壊滅させるもの/Eldrazi Devastator ","(８)","クリーチャー — エルドラージ(Eldrazi) ","トランプル",Trample,8/9,-,,"Joseph Meehan","コモン, 戦乱のゼンディカー (7/274) ",-
"果てしなきもの/Endless One ",(Ｘ),"クリーチャー — エルドラージ(Eldrazi) ","果てしなきものは、+1/+1カウンターがＸ個置かれた状態で戦場に出る。","Endless One enters the battlefield with X +1/+1 counters on it.",0/0,-,,"Jason Felix","レア, 戦乱のゼンディカー (8/274) ",-
"陰惨な殺戮/Gruesome Slaughter ","(６)","ソーサリー ","ターン終了時まで、あなたがコントロールする無色のクリーチャーは「(Ｔ)：クリーチャー１体を対象とする。このクリーチャーはそれに、自身のパワーに等しい点数のダメージを与える。」を得る。","Until end of turn, colorless creatures you control gain ""{T}: This creature deals damage equal to its power to target creature.""",-,-,,"Aleksi Briclot","レア, 戦乱のゼンディカー (9/274) ",-
"コジレックの媒介者/Kozilek's Channeler ","(５)","クリーチャー — エルドラージ(Eldrazi) ","(Ｔ)：あなたのマナ・プールに(２)を加える。","{T}: Add {2} to your mana pool.",4/4,-,,"Jason Felix","コモン, 戦乱のゼンディカー (10/274) ",-
"忘却蒔き/Oblivion Sower ","(６)","クリーチャー — エルドラージ(Eldrazi) ","あなたが忘却蒔きを唱えたとき、対戦相手１人を対象とする。そのプレイヤーは自分のライブラリーの一番上から４枚のカードを追放する。その後、あなたは追放領域からそのプレイヤーがオーナーである土地カードを、望む枚数あなたのコントロール下で戦場に出してもよい。","When you cast Oblivion Sower, target opponent exiles the top four cards of his or her library, then you may put any number of land cards that player owns from exile onto the battlefield under your control.",5/8,-,,"Jaime Jones","神話レア, 戦乱のゼンディカー (11/274) ",-
"破滅の昇華者/Ruin Processor ","(７)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","あなたが破滅の昇華者を唱えたとき、あなたは追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置いてもよい。そうしたなら、あなたは５点のライフを得る。","When you cast Ruin Processor, you may put a card an opponent owns from exile into that player's graveyard. If you do, you gain 5 life.",7/8,-,,"Slawomir Maniak","コモン, 戦乱のゼンディカー (12/274) ",-
"存在の一掃/Scour from Existence ","(７)","インスタント ","パーマネント１つを対象とし、それを追放する。","Exile target permanent.",-,-,,"Clint Cearley","コモン, 戦乱のゼンディカー (13/274) ",-
"タイタンの存在/Titan's Presence ","(３)","インスタント ","タイタンの存在を唱えるための追加コストとして、あなたの手札から無色のクリーチャー・カードを１枚公開する。クリーチャー１体を対象とする。それのパワーが公開したカードのパワー以下なら、それを追放する。","As an additional cost to cast Titan's Presence, reveal a colorless creature card from your hand.Exile target creature if its power is less than or equal to the revealed card's power.",-,-,,"Slawomir Maniak","アンコモン, 戦乱のゼンディカー (14/274) ",-
"絶え間ない飢餓、ウラモグ/Ulamog, the Ceaseless Hunger ","(１０)","伝説のクリーチャー — エルドラージ(Eldrazi) ","あなたが絶え間ない飢餓、ウラモグを唱えたとき、パーマネント２つを対象とし、それらを追放する。破壊不能絶え間ない飢餓、ウラモグが攻撃するたび、防御プレイヤーは自分のライブラリーの一番上から２０枚のカードを追放する。","When you cast Ulamog, the Ceaseless Hunger, exile two target permanents.IndestructibleWhenever Ulamog attacks, defending player exiles the top twenty cards of his or her library.",10/10,-,,"Michael Komarck","神話レア, 戦乱のゼンディカー (15/274) ",-
"ウラモグの強奪者/Ulamog's Despoiler ","(６)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","ウラモグの強奪者が戦場に出るに際し、あなたは追放領域から対戦相手がオーナーであるカードを２枚、それらのオーナーの墓地に置いてもよい。そうしたなら、ウラモグの強奪者は+1/+1カウンターが４個置かれた状態で戦場に出る。","As Ulamog's Despoiler enters the battlefield, you may put two cards your opponents own from exile into their owners' graveyards. If you do, Ulamog's Despoiler enters the battlefield with four +1/+1 counters on it.",5/5,-,,"Peter Mohrbacher","アンコモン, 戦乱のゼンディカー (16/274) ",-
"虚空の選別者/Void Winnower ","(９)","クリーチャー — エルドラージ(Eldrazi) ","あなたの対戦相手は点数で見たマナ・コストが偶数の呪文を唱えられない。（０は偶数である。）あなたの対戦相手は点数で見たマナ・コストが偶数のクリーチャーではブロックできない。","Your opponents can't cast spells with even converted mana costs. （Zero is even.）Your opponents can't block with creatures with even converted mana costs.",11/9,-,,"Chase Stone","神話レア, 戦乱のゼンディカー (17/274) ",-
"回生の天使/Angel of Renewal ","(５)(白)","クリーチャー — 天使(Angel)・同盟者(Ally) ","飛行回生の天使が戦場に出たとき、あなたはあなたがコントロールするクリーチャー１体につき１点のライフを得る。","FlyingWhen Angel of Renewal enters the battlefield, you gain 1 life for each creature you control.",4/4,-,,"Todd Lockwood","アンコモン, 戦乱のゼンディカー (18/274) ",-
"天使の贈り物/Angelic Gift ","(１)(白)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）天使の贈り物が戦場に出たとき、カードを１枚引く。エンチャントされているクリーチャーは飛行を持つ。","Enchant creatureWhen Angelic Gift enters the battlefield, draw a card.Enchanted creature has flying.",-,-,,"Josu Hernaiz","コモン, 戦乱のゼンディカー (19/274) ",-
"絶壁の見張り/Cliffside Lookout ","(白)","クリーチャー — コー(Kor)・スカウト(Scout)・同盟者(Ally) ","(４)(白)：ターン終了時まで、あなたがコントロールするクリーチャーは+1/+1の修整を受ける。","{4}{W}: Creatures you control get +1/+1 until end of turn.",1/1,-,,"Eric Deschamps","コモン, 戦乱のゼンディカー (20/274) ",-
"グリフィンの急使/Courier Griffin ","(３)(白)","クリーチャー — グリフィン(Griffin) ","飛行グリフィンの急使が戦場に出たとき、あなたは２点のライフを得る。","FlyingWhen Courier Griffin enters the battlefield, you gain 2 life.",2/3,-,,"Kieran Yanner","コモン, 戦乱のゼンディカー (21/274) ",-
"エメリアの番人/Emeria Shepherd ","(５)(白)(白)","クリーチャー — 天使(Angel) ","飛行上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、あなたの墓地から土地でないパーマネント・カード１枚を対象とする。あなたはそれをあなたの手札に戻してもよい。その土地が(Plain)であるなら、あなたはその土地でないパーマネント・カードを代わりに戦場に戻してもよい。","FlyingLandfall --- Whenever a land enters the battlefield under your control, you may return target nonland permanent card from your graveyard to your hand. If that land is a Plains, you may return that nonland permanent card to the battlefield instead.",4/4,-,,"Cynthia Sheppard","レア, 戦乱のゼンディカー (22/274) ",-
"取り囲む地割れ/Encircling Fissure ","(２)(白)","インスタント ","対戦相手１人を対象とする。このターン、そのプレイヤーがコントロールするクリーチャー与えるすべての戦闘ダメージを軽減する。覚醒２ ― (４)(白)（この呪文を(４)(白)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを２個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Prevent all combat damage that would be dealt this turn by creatures target opponent controls.Awaken 2 --- {4}{W} （If you cast this spell for {4}{W}, also put two +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Igor Kieryluk","アンコモン, 戦乱のゼンディカー (23/274) ",-
"探検隊の特使/Expedition Envoy ","(白)","クリーチャー — 人間(Human)・スカウト(Scout)・同盟者(Ally) ",,,2/1,-,,"David Palumbo","アンコモン, 戦乱のゼンディカー (24/274) ",-
"フェリダーの仔/Felidar Cub ","(１)(白)","クリーチャー — 猫(Cat)・ビースト(Beast) ","フェリダーの仔を生け贄に捧げる：エンチャント１つを対象とし、それを破壊する。","Sacrifice Felidar Cub: Destroy target enchantment.",2/2,-,,"Steve Prescott","コモン, 戦乱のゼンディカー (25/274) ",-
"フェリダーの君主/Felidar Sovereign （ふぇりだーのくんしゅ） ","(４)(白)(白)","クリーチャー — 猫(Cat)・ビースト(Beast) ","警戒、絆魂あなたのアップキープの開始時に、あなたのライフが４０点以上である場合、あなたはこのゲームに勝利する。","Vigilance, lifelinkAt the beginning of your upkeep, if you have 40 or more life, you win the game.",4/6,-,,"Zoltan Boros & Gabor Szikszai","レア, 戦乱のゼンディカー (26/274) ","BFZ ZEN "
