"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"侍祭の報賞/Acolyte's Reward （じさいのほうしょう） ","(１)(白)","インスタント ","クリーチャー１体を対象とし、クリーチャー１体かプレイヤー１人を対象とする。このターン、次にその前者に与えられるダメージをＸ点軽減する。Ｘは、あなたの白への信心である。これによりダメージが軽減されるなら、侍祭の報賞はその点数に等しい点数のダメージをその後者に与える。（あなたの白への信心は、あなたがコントロールするパーマネントのマナ・コストに含まれる(白)の数に等しい。）","Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to target creature or player. （Each {W} in the mana costs of permanents you control counts toward your devotion to white.）",-,-,,"Slawomir Maniak","アンコモン, 神々の軍勢 (1/165) ",-
"アクロスの密集軍/Akroan Phalanx （あくろすのみっしゅうぐん） ","(３)(白)","クリーチャー — 人間(Human)・兵士(Soldier) ","警戒(２)(赤)：あなたがコントロールするクリーチャーは、ターン終了時まで+1/+0の修整を受ける。","Vigilance{2}{R}: Creatures you control get +1/+0 until end of turn.",3/3,-,,"Steve Prescott","アンコモン, 神々の軍勢 (2/165) ",-
"アクロスの空護衛/Akroan Skyguard （あくろすのそらごえい） ","(１)(白)","クリーチャー — 人間(Human)・兵士(Soldier) ","飛行英雄的 ― あなたがアクロスの空護衛を対象とする呪文を１つ唱えるたび、アクロスの空護衛の上に+1/+1カウンターを１個置く。","FlyingHeroic --- Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.",1/1,-,,"Mark Winters","コモン, 神々の軍勢 (3/165) ",-
"勇気の元型/Archetype of Courage （ゆうきのげんけい） ","(１)(白)(白)","クリーチャー・エンチャント — 人間(Human)・兵士(Soldier) ","あなたがコントロールするクリーチャーは先制攻撃を持つ。あなたの対戦相手がコントロールするクリーチャーは先制攻撃を失うとともに、先制攻撃を持つことも得ることもできない。","Creatures you control have first strike.Creatures your opponents control lose first strike and can't have or gain first strike.",2/2,-,,"Willian Murai","アンコモン, 神々の軍勢 (4/165) ",-
"オレスコスの王、ブリマーズ/Brimaz, King of Oreskos （おれすこすのおうぶりまーず） ","(１)(白)(白)","伝説のクリーチャー — 猫(Cat)・兵士(Soldier) ","警戒オレスコスの王、ブリマーズが攻撃するたび、警戒を持つ白の1/1の猫(Cat)・兵士(Soldier)クリーチャー・トークン１体を攻撃している状態で戦場に出す。オレスコスの王、ブリマーズがクリーチャーをブロックするたび、警戒を持つ白の1/1の猫・兵士クリーチャー・トークン１体をそのクリーチャーをブロックしている状態で戦場に出す。","VigilanceWhenever Brimaz, King of Oreskos attacks, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield attacking.Whenever Brimaz blocks a creature, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield blocking that creature.",3/4,-,,"Peter Mohrbacher","神話レア, 神々の軍勢 (5/165) ",-
"日の出から日没/Dawn to Dusk （ひのでからにちぼつ） ","(２)(白)(白)","ソーサリー ","以下から１つまたは両方を選ぶ。・あなたの墓地にあるエンチャント・カード１枚を対象とし、それをあなたの手札に戻す。・エンチャント１つを対象とし、それを破壊する。","Choose one or both ---• Return target enchantment card from your graveyard to your hand.• Destroy target enchantment.",-,-,,"Robbie Trevino","アンコモン, 神々の軍勢 (6/165) ",-
"万戦の幻霊/Eidolon of Countless Battles （ばんせんのげんれい） ","(１)(白)(白)","クリーチャー・エンチャント — スピリット(Spirit) ","授与(２)(白)(白)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）万戦の幻霊とエンチャントされているクリーチャーは、それぞれあなたがコントロールするクリーチャー１体につき+1/+1の修整を受けるとともに、あなたがコントロールするオーラ１つにつき+1/+1の修整を受ける。","Bestow {2}{W}{W} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）Eidolon of Countless Battles and enchanted creature each get +1/+1 for each creature you control and +1/+1 for each Aura you control.",0/0,-,,"Raymond Swanland","レア, 神々の軍勢 (7/165) ",-
"散兵の精鋭/Elite Skirmisher （さんぺいのせいえい） ","(２)(白)","クリーチャー — 人間(Human)・兵士(Soldier) ","英雄的 ― あなたが散兵の精鋭を対象とする呪文を１つ唱えるたび、クリーチャー１体を対象とする。あなたはそれをタップしてもよい。","Heroic --- Whenever you cast a spell that targets Elite Skirmisher, you may tap target creature.",3/1,-,,"Mark Winters","コモン, 神々の軍勢 (8/165) ",-
"エファラの輝き/Ephara's Radiance （えふぁらのかがやき） ","(白)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは「(１)(白),(Ｔ)：あなたは３点のライフを得る。」を持つ。","Enchant creatureEnchanted creature has ""{1}{W}, {T}: You gain 3 life.""",-,-,,"James Ryman","コモン, 神々の軍勢 (9/165) ",-
"剥離/Excoriate （はくり） ","(３)(白)","ソーサリー ","タップ状態のクリーチャー１体を対象とし、それを追放する。","Exile target tapped creature.",-,-,,"Johann Bodin","コモン, 神々の軍勢 (10/165) ",-
