"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"姿を欺くもの/Deceiver of Form （すがたをあざむくもの） ","(６)(◇)","クリーチャー — エルドラージ(Eldrazi) ","（(◇)は無色マナを表す。）あなたのターンの戦闘の開始時に、あなたのライブラリーの一番上のカードを公開する。これによりクリーチャー・カードが公開されたなら、あなたは「ターン終了時まで、あなたがコントロールする姿を欺くもの以外のクリーチャーはそのカードのコピーになる」ことを選んでもよい。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。","（{C} represents colorless mana.）At the beginning of combat on your turn, reveal the top card of your library. If a creature card is revealed this way, you may have creatures you control other than Deceiver of Form become copies of that card until end of turn. You may put that card on the bottom of your library.",8/8,-,,"Viktor Titov","レア, ゲートウォッチの誓い (1/184) ",-
"エルドラージのミミック/Eldrazi Mimic （えるどらーじのみみっく） ","(２)","クリーチャー — エルドラージ(Eldrazi) ","他の無色のクリーチャーが１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたはエルドラージのミミックの基本のパワーとタフネスをそのクリーチャーのパワーとタフネスに変更してもよい。","Whenever another colorless creature enters the battlefield under your control, you may change Eldrazi Mimic's base power and toughness to that creature's power and toughness until end of turn.",2/1,-,,"Craig J Spearing","レア, ゲートウォッチの誓い (2/184) ",-
"終末を招くもの/Endbringer （しゅうまつをまねくもの） ","(５)(◇)","クリーチャー — エルドラージ(Eldrazi) ","他の各プレイヤーのアンタップ・ステップに、終末を招くものをアンタップする。(Ｔ)：クリーチャー１体かプレイヤー１人を対象とする。終末を招くものはそれに１点のダメージを与える。(◇),(Ｔ)：クリーチャー１体を対象とする。このターン、それでは攻撃したりブロックしたりできない。(◇)(◇),(Ｔ)：カードを１枚引く。","Untap Endbringer during each other player's untap step.{T}: Endbringer deals 1 damage to target creature or player.{C}, {T}: Target creature can't attack or block this turn.{C}{C}, {T}: Draw a card.",5/5,-,,"Vincent Proce","レア, ゲートウォッチの誓い (3/184) ",-
"大いなる歪み、コジレック/Kozilek, the Great Distortion （おおいなるゆがみこじれっく） ","(８)(◇)(◇)","伝説のクリーチャー — エルドラージ(Eldrazi) ","あなたが大いなる歪み、コジレックを唱えたとき、あなたの手札にあるカードの枚数が７枚未満である場合、その差に等しい枚数のカードを引く。威迫点数で見たマナ・コストがＸであるカードを１枚捨てる：点数で見たマナ・コストがＸである呪文１つを対象とし、それを打ち消す。","When you cast Kozilek, the Great Distortion, if you have fewer than seven cards in hand, draw cards equal to the difference.MenaceDiscard a card with converted mana cost X: Counter target spell with converted mana cost X.",12/12,-,,"Aleksi Briclot","神話レア, ゲートウォッチの誓い (4/184) ",-
"コジレックの先駆者/Kozilek's Pathfinder （こじれっくのせんくしゃ） ","(６)","クリーチャー — エルドラージ(Eldrazi) ","(◇)：クリーチャー１体を対象とする。このターン、それではコジレックの先駆者をブロックできない。（(◇)は無色マナを表す。）","{C}: Target creature can't block Kozilek's Pathfinder this turn. （{C} represents colorless mana.）",5/5,-,,"James Zapata","コモン, ゲートウォッチの誓い (5/184) ",-
"作り変えるもの/Matter Reshaper （つくりかえるもの） ","(２)(◇)","クリーチャー — エルドラージ(Eldrazi) ","（(◇)は無色マナを表す。）作り変えるものが死亡したとき、あなたのライブラリーの一番上のカードを公開する。それが、点数で見たマナ・コストが３以下のパーマネント・カードであるなら、あなたはそのカードを戦場に出してもよい。そうでないなら、そのカードをあなたの手札に加える。","（{C} represents colorless mana.）When Matter Reshaper dies, reveal the top card of your library. You may put that card onto the battlefield if it's a permanent card with converted mana cost 3 or less. Otherwise, put that card into your hand.",3/2,-,,"Chris Rahn","レア, ゲートウォッチの誓い (6/184) ",-
"現実を砕くもの/Reality Smasher （げんじつをくだくもの） ","(４)(◇)","クリーチャー — エルドラージ(Eldrazi) ","（(◇)は無色マナを表す。）トランプル、速攻現実を砕くものが対戦相手がコントロールする呪文１つの対象となるたび、その呪文のコントローラーがカードを１枚捨てないかぎり、それを打ち消す。","（{C} represents colorless mana.）Trample, hasteWhenever Reality Smasher becomes the target of a spell an opponent controls, counter that spell unless its controller discards a card.",5/5,-,,"Jason Rainville","レア, ゲートウォッチの誓い (7/184) ",-
"次元の歪曲/Spatial Contortion （じげんのわいきょく） ","(１)(◇)","インスタント ","（(◇)は無色マナを表す。）クリーチャー１体を対象とする。ターン終了時まで、それは+3/-3の修整を受ける。","（{C} represents colorless mana.）Target creature gets +3/-3 until end of turn.",-,-,,Daarken,"アンコモン, ゲートウォッチの誓い (8/184) ",-
"難題の予見者/Thought-Knot Seer （なんだいよけんしゃ） ","(３)(◇)","クリーチャー — エルドラージ(Eldrazi) ","（(◇)は無色マナを表す。）難題の予見者が戦場に出たとき、対戦相手１人を対象とする。そのプレイヤーは、自分の手札を公開する。あなたはその中から土地でないカードを１枚選び、そのカードを追放する。難題の予見者が戦場を離れたとき、対戦相手１人を対象とする。そのプレイヤーはカードを１枚引く。","（{C} represents colorless mana.）When Thought-Knot Seer enters the battlefield, target opponent reveals his or her hand. You choose a nonland card from it and exile that card.When Thought-Knot Seer leaves the battlefield, target opponent draws a card.",4/4,-,,"Svetlin Velinov","レア, ゲートウォッチの誓い (9/184) ",-
"荒地を歩くもの/Walker of the Wastes （あれちをあるくもの） ","(４)(◇)","クリーチャー — エルドラージ(Eldrazi) ","（(◇)は無色マナを表す。）トランプル荒地を歩くものは、あなたがコントロールする《荒地/Wastes》という名前の土地１つにつき+1/+1の修整を受ける。","（{C} represents colorless mana.）TrampleWalker of the Wastes gets +1/+1 for each land you control named Wastes.",4/4,-,,"Joseph Meehan","アンコモン, ゲートウォッチの誓い (10/184) ",-
